"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","renders children when authenticated","PrivateRoute","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","170","shows nav links when authenticated","Navbar","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:29 IST 2025","","","",""
"","157","shows Sign in when not authenticated","Navbar","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","38","redirects to login when not authenticated","PrivateRoute","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","112","renders title and children","Card","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","145","initially loads session and sets user when present","AuthContext","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","7","applies custom className","Card","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","156","shows loading state when loading","PrivateRoute","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","53","prefixes path with API base and includes credentials","apiFetch","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
"","40","toggles mobile menu","Navbar","Sun Nov 02 12:48:29 IST 2025","passed","Sun Nov 02 12:48:29 IST 2025","","","",""
"","32","sets unauthenticated when no session","AuthContext","Sun Nov 02 12:48:28 IST 2025","passed","Sun Nov 02 12:48:28 IST 2025","","","",""
